Regione,Provincia,Comune,Centro,Indirizzo,Contatti,Orari,full_address,latitude,longitude,simplified_address
Molise,Isernia,Isernia,Antiviolenza BeFree Molise di Isernia,"Piazza Marconi, 1",3894451838,Lunedì: 09:00-11:00; Martedì: 10:00-13:00; Mercoledì: 10:00-13:00; Giovedì: 15:00-17:00; Venerdì: 09:00-12:00; Sabato: h24; Domenica: h24,"Piazza Marconi, 1, Isernia, Isernia, Italia",41.58797955,14.22584503945454,"Piazza Marconi, 1, Isernia, Isernia"
Piemonte,Vercelli,Vercelli,Antiviolenza Vercellese EOS,"Via Fratelli Garrone,12",3343113955,Lunedì: 10:00-14:00; Martedì: 12:00-16:00; Mercoledì: 10:00-14:00; Giovedì: 12:00-16:00; Venerdì: 10:00-14:00; Sabato: h24; Domenica: h24,"Via Fratelli Garrone,12, Vercelli, Vercelli, Italia",45.323791,8.4209986,"Via Fratelli Garrone,12, Vercelli, Vercelli"
Puglia,Taranto,Taranto,Antiviolenza  Sostegno Donna,"Via Cagliari angolo via Dante, 221/b asl ta",0997786652; 3271833451; 3317443573,Lunedì: 08:00-14:00; Martedì: chiuso; Mercoledì: 08:00-14:00; Giovedì: 08:00-17:00; Venerdì: 08:00-14:00; Sabato: h24; Domenica: h24,"Via Cagliari angolo via Dante, 221/b asl ta, Taranto, Taranto, Italia",,,"Via Cagliari angolo via Dante, 221/b asl ta, Taranto, Taranto"
Sardegna,Sud Sardegna,Sanluri,Antiviolenza Feminas,Via Porceddu 12,3807879876,"Lunedì: su appuntamento, 10:00-12:00; Martedì: chiuso; Mercoledì: su appuntamento, 15:00-17:00; Giovedì: chiuso; Venerdì: su appuntamento, 09:00-11:00; Sabato: h24; Domenica: h24","Via Porceddu 12, Sanluri, Sud Sardegna, Italia",,,"Via Porceddu 12, Sanluri, Sud Sardegna"
Sicilia,Trapani,Trapani,Antiviolenza CO.TU.LE.VI,Via XXX Gennaio – presso Palazzo di Giustizia,0923802433,Lunedì: 08:00-13:00; Martedì: 08:00-13:00/14:30-19:30; Mercoledì: 08:00-13:00; Giovedì: 08:00-13:00; Venerdì: 08:00-13:00; Sabato: h24; Domenica: h24,"Via XXX Gennaio – presso Palazzo di Giustizia, Trapani, Trapani, Italia",,,"Via XXX Gennaio – presso Palazzo di Giustizia, Trapani, Trapani"
Toscana,Siena,Siena,Associazione Donna chiama Donna,"Via Roma, 75",0577288967; 3472220188,Lunedì: 15:00-18:00; Martedì: 09:00-12:00; Mercoledì: 15:00-18:00; Giovedì: 15:00-18:00; Venerdì: 09:00-12:00; Sabato: chiuso; Domenica: chiuso,"Via Roma, 75, Siena, Siena, Italia",43.3153415,11.3407951,"Via Roma, 75, Siena, Siena"
Trentino-Alto Adige/Südtirol,Trento,Trento,Antiviolenza,"Via della Dogana, 1",0461220048,Lunedì: 08:30-16:30; Martedì: 08:30-16:30; Mercoledì: 13:00-19:00; Giovedì: 08:30-16:30; Venerdì: 08:30-16:30; Sabato: chiuso; Domenica: chiuso,"Via della Dogana, 1, Trento, Trento, Italia",,,"Via della Dogana, 1, Trento, Trento"
Umbria,Terni,Terni,Antiviolenza Liberetutte,"Via Campomicciolo, 1",3342024605,Lunedì: 09:00-18:00; Martedì: 09:00-18:00; Mercoledì: 09:00-18:00; Giovedì: 09:00-18:00; Venerdì: 09:00-18:00; Sabato: h24; Domenica: h24,"Via Campomicciolo, 1, Terni, Terni, Italia",42.55308355361512,12.660488825170754,"Via Campomicciolo, 1, Terni, Terni"
Valle d'Aosta/Vallée d'Aoste,Valle d’Aosta/Vallée d’Aoste,Aosta,Antiviolenza donne contro la violenza,"Via Torino, 18",0165238750; 3440789888,Lunedì: 08:00-20:00; Martedì: 08:00-20:00; Mercoledì: 08:00-20:00; Giovedì: 08:00-20:00; Venerdì: 08:00-20:00; Sabato: 08:00-20:00; Domenica: 08:00-20:00,"Via Torino, 18, Aosta, Valle d’Aosta/Vallée d’Aoste, Italia",45.7370456883875,7.324891803281769,"Via Torino, 18, Aosta, Valle d’Aosta/Vallée d’Aoste"
Veneto,Vicenza,"Vicenza, Sportello di Arzignano, Pojana Maggiore",CeAV- Centro Antiviolenza del Comune di Vicenza,Via Stradella dei Cappuccini 67,0444230402; 3666330796; 3920115571,"Lunedì: 09:00-13:00; Martedì: su appuntamento, 09:00-13:00; Mercoledì: su appuntamento, 09:00-13:00; Giovedì: su appuntamento, 09:00-13:00; Venerdì: su appuntamento, 09:00-13:00; Sabato: chiuso; Domenica: chiuso","Via Stradella dei Cappuccini 67, Vicenza, Sportello di Arzignano, Pojana Maggiore, Vicenza, Italia",,,"Via Stradella dei Cappuccini 67, Vicenza, Vicenza"
